Supplier_Name,Supplier_Code,Pickup_Street,Pickup_ZIP,Pickup_City,Pickup_Country,Destination_ID,Destination_Name,Destination_Street,Destination_ZIP,Destination_City,Destination_Country,Pallets_per_Week,Weight_per_Week_kg,Pallet_Length_cm,Pallet_Width_cm,Pallet_Height_cm,Stack_Levels,Max_Transit_Time_days,Preferred_Delivery_Days,Flexibility_Level,Max_Truck_Type,Historical_Cost_per_Truck,Preferred_Carrier
Bosch GmbH,SUP-0001,Robert-Bosch-Platz 1,70839,Stuttgart,Germany,RT-HQ,RT Automotive d.o.o.,Radnička cesta 37,10000,Zagreb,Croatia,22,8800,120,80,160,2,2,Mon;Thu,Medium,Standard Trailer,1850,DB Schenker
Continental AG,SUP-0002,Osterhofener Str. 19,93055,Regensburg,Germany,RT-HQ,RT Automotive d.o.o.,Radnička cesta 37,10000,Zagreb,Croatia,18,7200,120,80,160,2,2,Tue;Fri,High,Standard Trailer,1750,Kuehne+Nagel
ZF Friedrichshafen,SUP-0003,Löwentaler Str. 20,88046,Friedrichshafen,Germany,RT-HQ,RT Automotive d.o.o.,Radnička cesta 37,10000,Zagreb,Croatia,10,4000,120,80,180,1,3,Wed,High,Mega Trailer,,
Schaeffler Group,SUP-0004,Industriestr. 1,91074,Herzogenaurach,Germany,RT-HQ,RT Automotive d.o.o.,Radnička cesta 37,10000,Zagreb,Croatia,8,3200,120,80,150,2,3,Wed,High,Mega Trailer,,
Mahle GmbH,SUP-0005,Pragstr. 26,70376,Stuttgart,Germany,RT-HQ,RT Automotive d.o.o.,Radnička cesta 37,10000,Zagreb,Croatia,6,2400,120,80,160,1,3,Mon,High,Standard Trailer,,
Valeo SA,SUP-0006,43 Rue Bayen,75017,Paris,France,SANDOUVILLE,Renault Assembly,Route du Pont,76430,Sandouville,France,28,11200,120,80,170,2,1,Mon;Wed;Fri,Low,Standard Trailer,2100,Geodis
Faurecia,SUP-0007,23 Rue Benjamin Franklin,92000,Nanterre,France,SANDOUVILLE,Renault Assembly,Route du Pont,76430,Sandouville,France,20,8000,120,80,190,1,1,Tue;Thu,Medium,Standard Trailer,1950,Geodis
Plastic Omnium,SUP-0008,1 Allée Pierre Burelle,92500,Levallois-Perret,France,SANDOUVILLE,Renault Assembly,Route du Pont,76430,Sandouville,France,12,4800,120,80,200,1,1,Mon;Thu,High,Standard Trailer,1650,DSV
Magneti Marelli,SUP-0009,Via del Timavo 33,40129,Bologna,Italy,MELFI,FCA Plant,Strada Statale 655,85025,Melfi,Italy,16,6400,120,80,160,2,2,Tue;Fri,Medium,Standard Trailer,1600,Kuehne+Nagel
Brembo SpA,SUP-0010,Via Brembo 25,24022,Curno,Italy,MELFI,FCA Plant,Strada Statale 655,85025,Melfi,Italy,10,4000,120,80,150,1,2,Wed,High,Standard Trailer,1400,Intereuropa
Marelli Holdings,SUP-0011,Viale Fulvio Testi 223,20162,Sesto San Giovanni,Italy,MELFI,FCA Plant,Strada Statale 655,85025,Melfi,Italy,7,2800,120,80,160,2,3,Thu,High,Mega Trailer,,
Plastic Components BV,SUP-0012,Vossenbeemd 1,5705,Tilburg,Netherlands,GHENT,Volvo Cars,Antwerpsesteenweg 219,9000,Ghent,Belgium,24,9600,120,80,180,2,1,Mon;Wed;Fri,Low,Standard Trailer,1300,DSV
ElringKlinger,SUP-0013,Max-Eyth-Str. 2,72581,Dettingen,Germany,BREMEN,Mercedes-Benz Plant,Sebaldsbrücker Heerstr. 36,28309,Bremen,Germany,14,5600,120,80,140,3,2,Mon;Thu,Medium,Standard Trailer,1550,DB Schenker
Hella GmbH,SUP-0014,Rixbecker Str. 75,59552,Lippstadt,Germany,BREMEN,Mercedes-Benz Plant,Sebaldsbrücker Heerstr. 36,28309,Bremen,Germany,9,3600,120,80,160,2,2,Tue,High,Standard Trailer,980,Dachser
Webasto SE,SUP-0015,Kraillinger Str. 5,82131,Stockdorf,Germany,BREMEN,Mercedes-Benz Plant,Sebaldsbrücker Heerstr. 36,28309,Bremen,Germany,5,2000,120,80,190,1,3,Wed,High,Mega Trailer,,
Aptiv PLC,SUP-0016,ul. Podole 21,30394,Krakow,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,30,12000,120,80,160,2,1,Mon;Tue;Thu,Low,Standard Trailer,1100,Raben
Delphi Technologies,SUP-0017,ul. Legnicka 48,54202,Wroclaw,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,22,8800,120,80,150,2,1,Mon;Wed;Fri,Medium,Standard Trailer,980,Raben
TRW Automotive,SUP-0018,ul. Jana Pawła II 1,43502,Czechowice,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,12,4800,120,80,160,2,2,Tue;Fri,High,Standard Trailer,870,DSV
Lear Corporation,SUP-0019,ul. Towarowa 1,43100,Tychy,Poland,POZNAN,Volkswagen Plant,ul. Warszawska 349,61001,Poznan,Poland,8,3200,120,80,180,1,2,Thu,High,Mega Trailer,,
Automotive Lighting,SUP-0020,Siemensstr. 8,72764,Reutlingen,Germany,MUNICH,BMW Plant,Petuelring 130,80788,Munich,Germany,18,7200,120,80,160,2,1,Mon;Thu,Medium,Standard Trailer,750,Dachser
SL Power Electronics,SUP-0021,Donaustr. 39,87700,Memmingen,Germany,MUNICH,BMW Plant,Petuelring 130,80788,Munich,Germany,11,4400,120,80,140,3,1,Tue;Fri,High,Standard Trailer,680,DB Schenker
Kostal Group,SUP-0022,An der Bellmerei 4,58513,Luedenscheid,Germany,MUNICH,BMW Plant,Petuelring 130,80788,Munich,Germany,7,2800,120,80,130,3,2,Wed,High,Mega Trailer,,
Yazaki Europe,SUP-0023,Eisenstr. 1,50769,Cologne,Germany,COLOGNE,Ford Plant,Henry-Ford-Str. 1,50725,Cologne,Germany,35,14000,120,80,160,2,1,Mon;Wed;Fri,Low,Standard Trailer,420,Geodis
Sumitomo Electric,SUP-0024,Halskestr. 38,40880,Dusseldorf,Germany,COLOGNE,Ford Plant,Henry-Ford-Str. 1,50725,Cologne,Germany,28,11200,120,80,160,2,1,Mon;Wed;Fri,Low,Standard Trailer,390,Kuehne+Nagel
Hutchinson SA,SUP-0025,2 Rue Balzac,75008,Paris,France,SOCHAUX,PSA Peugeot,Centre Technique,25600,Sochaux,France,15,6000,120,80,150,2,2,Tue;Fri,Medium,Standard Trailer,,
